file_name,title,display_id,upload_date,view_count,like_count,dislike_count,average_rating,creator,artist
"Sandy, ANAVIT?RIA - Pra Me Refazer-7eu_EMEJEaM.mp3","Sandy, ANAVIT?RIA - Pra Me Refazer",7eu_EMEJEaM,20180921,1257325,91731,420,4.981827736,"Sandy, ANAVIT?RIA","Sandy, ANAVIT?RIA"
Wir Sind Helden - Nur Ein Wort (Video)-X5kmM98iklo.mp3,Wir Sind Helden - Nur Ein Wort (Video),X5kmM98iklo,20101207,5875471,31319,966,4.880115032,Wir Sind Helden,Wir Sind Helden
DIR EN GREY - THE FINAL-2X38H6Zvyr4.mp3,DIR EN GREY - THE FINAL,2X38H6Zvyr4,20101224,940665,5743,110,4.924824715,Dir En Grey,Dir En Grey
My Chemical Romance - Welcome To The Black Parade [Official Music Video]-RRKJiM9Njr8.mp3,My Chemical Romance - Welcome To The Black Parade [Official Music Video],RRKJiM9Njr8,20091026,78274462,648362,16643,4.89960289,My Chemical Romance,My Chemical Romance
The Killers - Mr. Brightside-gGdGFtwCNBE.mp3,The Killers - Mr. Brightside,gGdGFtwCNBE,20090616,291482036,1241542,41727,4.869401455,The Killers,The Killers
Katatonia - Old Heart Falls (lyric video)-OFjWd5unk6Q.mp3,Katatonia - Old Heart Falls (lyric video),OFjWd5unk6Q,20160330,25506,297,5,4.933774948,Katatonia,Katatonia
MONGOL800 ?????????Pocky? ?????????-0Com7F2TvpU.mp3,MONGOL800 ?????????Pocky? ?????????,0Com7F2TvpU,20131120,1481486,3726,148,4.847186565,,
????? / Dearest-4EPsrl1UIn0.mp3,????? / Dearest,4EPsrl1UIn0,20100719,3672864,,,4.743253231,Ayumi Hamasaki,Ayumi Hamasaki
In The End (Official Video) - Linkin Park-eVTXPUF4Oz4.mp3,In The End (Official Video) - Linkin Park,eVTXPUF4Oz4,20091026,615659227,3464411,92511,4.895693302,Linkin Park,Linkin Park
HYDE - AFTER LIGHT(Lyric video)-usH46Bo-0pE.mp3,HYDE - AFTER LIGHT(Lyric video),usH46Bo-0pE,20180702,125122,2515,42,4.935334682,HYDE,HYDE
[MV] GD&TOP - High High HD-X5XVbVnPis4.mp3,[MV] GD&TOP - High High HD,X5XVbVnPis4,20101215,8834223,51000,925,4.928743362,GD&TOP,GD&TOP
Seether - Fake it-Pj5z50FukdQ.mp3,Seether - Fake it,Pj5z50FukdQ,20080222,12477536,79032,2429,4.880757332,Seether,Seether
LOSTPROPHETS - Last Train Home-NjKmCxyKmas.mp3,LOSTPROPHETS - Last Train Home,NjKmCxyKmas,20080411,11558414,53098,6629,4.556046486,,
HIM - Wicked Game (German Version 1998)-wjGK-LRqAqI.mp3,HIM - Wicked Game (German Version 1998),wjGK-LRqAqI,20110322,1290066,13915,372,4.895849228,HIM,HIM
Korn - Freak On a Leash (AC3 Stereo)-jRGrNDV2mKc.mp3,Korn - Freak On a Leash (AC3 Stereo),jRGrNDV2mKc,20091025,131165619,576757,30587,4.797580242,Korn,Korn
EPICA - Crimson Bow and Arrow (OFFICIAL TRACK)-ZN3ZK1RZsFY.mp3,EPICA - Crimson Bow and Arrow (OFFICIAL TRACK),ZN3ZK1RZsFY,20180525,125655,4918,99,4.921068192,Epica,Epica
Tool- Schism Music Video (HD)-ATsrCNJhic4.mp3,Tool- Schism Music Video (HD),ATsrCNJhic4,20100926,1249981,8543,245,4.888484478,,
Hawthorne Heights - Ohio Is For Lovers (Acoustic)-J5-Ptk1JUf4.mp3,Hawthorne Heights - Ohio Is For Lovers (Acoustic),J5-Ptk1JUf4,20140403,73885,922,17,4.927582741,Hawthorne Heights,Hawthorne Heights
Ricky Martin - Livin La Vida Loca | LYRICS-ltRgb4SJ1uk.mp3,Ricky Martin - Livin La Vida Loca | LYRICS,ltRgb4SJ1uk,20131019,19364044,90134,3134,4.865716934,Ricky Martin,Ricky Martin
Ryan Adams - Wonderwall-0gVxRvNfFLg.mp3,Ryan Adams - Wonderwall,0gVxRvNfFLg,20071106,5608395,19079,1008,4.799273014,Ryan Adams,Ryan Adams
Hoobastank - The Reason-fV4DiAyExN0.mp3,Hoobastank - The Reason,fV4DiAyExN0,20091007,476918928,2096344,68048,4.873690605,Hoobastank,Hoobastank
Black Clover Opening 4?Guess Who Is Back?by Kumi Koda-SyX94qRE7bU.mp3,Black Clover Opening 4?Guess Who Is Back?by Kumi Koda,SyX94qRE7bU,20180710,548417,5265,171,4.874172211,????,????
Type O' Negative - Love You To Death-8S8Iz0mGs_U.mp3,Type O' Negative - Love You To Death,8S8Iz0mGs_U,20140403,2200537,15952,449,4.890780926,Type O Negative,Type O Negative
KT Tunstall - Suddenly I See [live] [HD]-6or36evZ21A.mp3,KT Tunstall - Suddenly I See [live] [HD],6or36evZ21A,20100326,442280,2026,46,4.911196709,,
Hinder - Lips Of An Angel-RiSfTyrvJlg.mp3,Hinder - Lips Of An Angel,RiSfTyrvJlg,20090616,157569682,822458,40262,4.812619209,Hinder,Hinder
Melt Banana - Candy Gun-NZSL21lcoH4.mp3,Melt Banana - Candy Gun,NZSL21lcoH4,20131205,20776,343,5,4.942528725,Melt-Banana,Melt-Banana
Krypteria-All Systems Go-4uaacmfSOxY.mp3,Krypteria-All Systems Go,4uaacmfSOxY,20110719,467,6,0,5,Krypteria,Krypteria
"Saliva - They Don't Care About Us -  (Michael Jackon Cover) From Love, Lies & Therapy-kvh_HJj6y3s.mp3","Saliva - They Don't Care About Us -  (Michael Jackon Cover) From Love, Lies & Therapy",kvh_HJj6y3s,20160705,116732,1578,28,4.930261612,Saliva,Saliva
?PV?HUNTING FOR YOUR DREAM - GALNERYUS-6FhmyWT-_0U.mp3,?PV?HUNTING FOR YOUR DREAM - GALNERYUS,6FhmyWT-_0U,20120712,3191193,31741,343,4.957265377,GALNERYUS,GALNERYUS
Royal Hunt - Fistful of Misery (Official Video)-ic3vvmOp9U4.mp3,Royal Hunt - Fistful of Misery (Official Video),ic3vvmOp9U4,20180321,69825,,,4.865546227,,
The Chosen Ones - Dream Evil-nN5yrRRs2EY.mp3,The Chosen Ones - Dream Evil,nN5yrRRs2EY,20130211,88762,841,9,4.957646847,Dream Evil,Dream Evil
Saybia - The Second You Sleep-3k-3UVNLSIM.mp3,Saybia - The Second You Sleep,3k-3UVNLSIM,20060915,571172,1269,38,4.883703232,Saybia,Saybia
Lady Gaga - Bad Romance-qrO4YZeyl0I.mp3,Lady Gaga - Bad Romance,qrO4YZeyl0I,20091124,965298898,2999188,334405,4.598538399,Lady Gaga,Lady Gaga
Green Day - Basket Case [Official Music Video]-NUTGr5t3MoY.mp3,Green Day - Basket Case [Official Music Video],NUTGr5t3MoY,20091026,161062006,744051,21912,4.884945869,Green Day,Green Day
Jesse McCartney - Beautiful Soul (Official Video)-ek2PDE1cAyY.mp3,Jesse McCartney - Beautiful Soul (Official Video),ek2PDE1cAyY,20140819,25900991,232355,4340,4.926686287,Jesse McCartney,Jesse McCartney
Nick Carter Do I Have To Cry For You Live-VzjXHp-CXaI.mp3,Nick Carter Do I Have To Cry For You Live,VzjXHp-CXaI,20090603,160333,971,24,4.903517723,,
Shake It - Metro Station Lyrics-IpzIJEIljQA.mp3,Shake It - Metro Station Lyrics,IpzIJEIljQA,20080327,25805917,88512,3735,4.838127613,Metro Station,Metro Station
"Fall Out Boy - Sugar, We're Goin Down (Concept Version)-uhG-vLZrb-g.mp3","Fall Out Boy - Sugar, We're Goin Down (Concept Version)",uhG-vLZrb-g,20090616,69909820,358468,9769,4.893473148,,
Paris Hilton - Stars are Blind Official Video-icpqB22c4G8.mp3,Paris Hilton - Stars are Blind Official Video,icpqB22c4G8,20091009,2161610,8537,1115,4.537919521,Paris Hilton,Paris Hilton
50 Cent - In Da Club (Int'l Version)-5qm8PH4xAss.mp3,50 Cent - In Da Club (Int'l Version),5qm8PH4xAss,20090616,717828568,2660981,132219,4.810208797,50 Cent,50 Cent
You Got It (The Right Stuff) - New Kids on the Block - NKOTBSB tour - 2012-04-29 - London-7wJMH-RgnbA.mp3,You Got It (The Right Stuff) - New Kids on the Block - NKOTBSB tour - 2012-04-29 - London,7wJMH-RgnbA,20120512,147610,608,24,4.848101139,,
"???? ????? & Polina - ?????? ?????? (???????? ?????, 2018)-0uvIc4u475s.mp3","???? ????? & Polina - ?????? ?????? (???????? ?????, 2018)",0uvIc4u475s,20180803,11017577,251383,23604,4.656162739,,
??? - ???? ??? ?????-9z-ZKPkhnSw.mp3,??? - ???? ??? ?????,9z-ZKPkhnSw,20140116,1629014,8932,473,4.798830509,???,???
london after midnight -kiss-gD2JUFkT5RI.mp3,london after midnight -kiss,gD2JUFkT5RI,20100125,408928,3869,58,4.940921783,London After Midnight,London After Midnight
KMFDM - Megalomaniac-xwhOTNQcQq4.mp3,KMFDM - Megalomaniac,xwhOTNQcQq4,20090212,2325173,14678,516,4.864335537,KMFDM,KMFDM
Madonna - Hung Up (Official Music Video)-EDwb9jOVRtU.mp3,Madonna - Hung Up (Official Music Video),EDwb9jOVRtU,20091026,169396716,608530,33424,4.791182518,Madonna,Madonna
Dido - Thank You (Official Video)-1TO48Cnl66w.mp3,Dido - Thank You (Official Video),1TO48Cnl66w,20091003,106794694,497442,11991,4.905297756,Dido,Dido
Gorillaz - Feel Good Inc. (Official Video)-HyHNuVaZJ-k.mp3,Gorillaz - Feel Good Inc. (Official Video),HyHNuVaZJ-k,20160628,208520442,1817041,49591,4.893348217,Gorillaz,Gorillaz
Radiohead - Creep-XFkzRNyygfk.mp3,Radiohead - Creep,XFkzRNyygfk,20080718,288511697,1392526,47424,4.868024826,Radiohead,Radiohead
The Cure - Friday I'm In Love-mGgMZpGYiy8.mp3,The Cure - Friday I'm In Love,mGgMZpGYiy8,20100223,47594875,224236,6051,4.894961357,The Cure,The Cure
Poets of the Fall - Carnival of Rust (Official Video w/ Lyrics)-MKk1u5RMTn4.mp3,Poets of the Fall - Carnival of Rust (Official Video w/ Lyrics),MKk1u5RMTn4,20090712,22899052,214548,3238,4.940155506,Poets of the Fall,Poets of the Fall
MUSE - The Dark Side [Official Music Video]-e0UWT0dFSQE.mp3,MUSE - The Dark Side [Official Music Video],e0UWT0dFSQE,20180830,5054070,118512,4079,4.865119457,Muse,Muse
OneRepublic - Counting Stars-hT_nvWreIhg.mp3,OneRepublic - Counting Stars,hT_nvWreIhg,20130531,2435773100,8418485,316024,4.855066776,OneRepublic,OneRepublic
System Of A Down - Chop Suey!-CSvFpBOe8eY.mp3,System Of A Down - Chop Suey!,CSvFpBOe8eY,20091002,745596696,3570917,173664,4.81410265,System of a Down,System of a Down
The Beatles-Here comes the Sun.-U_O1QKQCsGs.mp3,The Beatles-Here comes the Sun.,U_O1QKQCsGs,20161009,5827877,18517,1087,4.778434753,,
